"IID" "secure_parents" "partic_vote" "partic_protest" "imp_immig" "imp_jobs" "imp_costliv" "imp_climate" "imp_abort" "imp_gun" "imp_crime" "imp_gaza" "imp_antisem" "imp_votright" "imp_ukraine" "imp_schteach" "imp_islamop" "highered_bias" "highered_approve" "secular_reason" "police_safe" "police_confid" "police_number" "crime_selfplc" "treatcrime_theft" "treatcrime_marij" "treatcrime_camp" "treatcrime_firearm" "treatcrime_abort" "border_patrol" "border_milit" "border_legal" "aid_ukraine" "aid_israel" "aid_palest" "prej_muslims" "prej_jews" "group_fascists" "group_kkk" "group_nazi" "group_blm" "group_atheists" "group_prolife" "group_prochoice" "group_gunrights" "group_lgbtrights" "group_feminists" "group_whitesup" "group_antigay" "group_socialist" "group_antifa" "group_christfund" "group_laborun" "group_bigbus" "group_gayles" "group_transppl" "group_christians" "group_police" "group_journal" "group_nra" "group_ruralam" "group_planparent" "group_colprofs" "group_black" "group_white" "group_hispanic" "group_asian" "group_transmen" "group_transwom" "group_jews" "group_muslims" "foreign_israel" "foreign_hamas" "foreign_israelis" "foreign_palest" "tol_freespeech" "disqual_felon" "disqual_bribe" "disqual_docs" "disqual_sexhar" "felonserve_fedoff" "empsat_paidoff" "abrtpre_abrtself" "trans_health" "trans_sportgirl" "trans_sportboy" "raceadvt_white" "raceadvt_black" "raceadvt_hispanic" "raceadvt_asian" "resent_workway" "resent_genertns" "resent_deserve" "resent_tryhard" "sexism_bprotect" "sexism_bdiff" "sexism_bhetero" "sexism_hinnoc" "sexism_hpower" "empath_concern" "empath_perspect" "school_racism" "school_gender" "abrtpre_standard.By law, a woman should always be able to obtain an abortion as a matter of perso" "abrtpre_standard.The law should permit abortion for reasons other than rape," "abrtpre_standard.Other" "abrtpre_standard.The law should permit abortion only in case of rape, incest, or when the woman's" "abrtpre_standard.By law, abortion should never be permitted."
"37" 1 2 4 1 1 1 4 1 1 1 3 1 1 3 1 1 1 4 3 1 1 2 7 1 4 1 1 4 1 1 4 5 3 1 3 3 16 1 1 50 50 85 4 85 84 3 1 3 50 5 50 85 85 85 85 92 85 50 85 50 40 50 84 84 40 70 50 50 50 85 85 1 85 85 1 1 1 0 1 3 5 6 5 1 1 1 3 1 2 3 2 2 3 5 1 1 1 3 1 4 5 5 0 0 0 1 0
"38" 3 1 1 3 1 3 1 1 1 1 2 2 1 1 1 3 2 1 2 4 3 5 4 1 4 1 1 5 1 2 4 1 4 1 2 2 0 0 0 37 40 80 53 75 0 88 0 0 69 74 0 100 67 0 0 72 69 67 0 68 100 0 100 76 90 91 0 0 89 78 66 0 73 75 1 1 1 1 1 3 2 2 5 5 5 1 3 3 1 5 1 1 5 4 3 2 1 4 2 5 1 2 1 0 0 0 0
"39" 1 1 6 1 2 2 4 1 4 2 1 3 3 1 1 4 2 3 2 3 4 5 5 2 5 2 1 5 1 1 2 1 3 2 5 2 16 2 5 5 10 10 100 53 15 54 11 17 6 14 50 41 76 62 22 90 76 31 60 96 100 77 87 70 35 82 15 31 99 19 51 4 53 54 1 1 1 1 0 3 4 2 5 1 1 3 3 2 3 2 2 4 3 4 3 3 2 2 2 3 3 5 1 0 0 0 0
"40" 3 1 2 4 2 3 1 5 1 3 4 2 1 1 3 1 3 5 1 4 4 3 1 4 5 5 1 5 4 5 1 1 3 1 1 3 0 0 0 100 100 6 100 19 100 100 0 0 86 100 31 100 30 100 100 40 31 100 6 100 100 85 100 100 100 100 100 100 100 100 60 8 15 100 1 1 1 1 1 1 5 1 1 4 4 1 3 3 3 4 1 1 5 2 5 3 4 2 2 4 1 3 1 0 0 0 0
"41" 3 3 7 1 1 1 2 2 2 1 2 4 2 3 1 2 3 2 1 2 2 5 1 3 5 2 1 5 1 2 4 5 3 3 3 3 36 4 5 76 11 55 52 51 53 53 7 40 52 53 55 51 57 51 44 91 81 52 46 53 55 63 82 62 53 56 42 45 77 58 56 20 53 57 2 0 1 1 1 3 3 3 5 2 5 1 3 3 2 1 3 3 4 5 4 3 3 5 3 5 1 2 0 1 0 0 0
"42" 3 3 2 4 2 2 1 1 2 3 2 2 1 2 2 2 3 2 1 3 4 1 1 3 5 5 2 5 4 5 1 2 4 2 2 2 1 1 1 90 81 15 85 1 86 88 1 1 85 79 14 88 31 85 86 32 41 47 1 44 89 77 82 60 75 81 87 86 84 82 40 6 71 80 1 1 1 1 1 2 2 1 2 5 5 1 3 3 2 5 2 2 5 1 5 5 5 5 4 5 1 1 1 0 0 0 0
"43" 1 2 6 1 1 1 1 1 1 1 2 2 1 2 1 2 3 2 1 2 3 4 4 3 5 4 1 5 2 2 4 2 2 2 2 2 0 0 0 70 100 0 100 0 85 100 0 0 50 0 40 100 30 100 100 100 70 50 0 85 100 100 100 100 100 100 100 100 100 100 85 0 85 85 2 1 1 1 1 3 1 1 1 3 3 2 3 2 2 3 2 2 4 3 4 4 4 3 4 5 1 4 1 0 0 0 0
"44" 3 1 4 3 2 2 2 3 4 3 4 4 2 2 4 4 3 2 1 1 1 2 5 3 5 3 2 5 2 4 3 1 2 2 3 4 5 8 13 48 63 32 63 61 65 69 9 4 57 22 64 74 42 71 70 72 76 51 19 58 44 66 67 70 68 62 17 55 60 66 59 3 61 35 1 1 1 1 1 3 2 3 2 3 3 1 3 2 1 4 2 2 4 4 4 2 3 4 4 5 3 3 1 0 0 0 0
"45" 3 2 3 1 1 1 1 4 3 1 2 3 1 1 1 2 2 4 1 4 4 4 1 3 2 2 1 5 2 1 4 1 1 2 2 1 8 16 29 95 37 49 14 20 12 5 92 28 18 17 86 47 79 6 6 90 35 17 14 21 81 15 90 85 70 26 0 4 48 25 77 16 77 50 2 0 1 1 1 2 3 6 4 3 1 1 3 2 1 3 2 1 2 4 2 1 2 1 1 3 2 3 0 1 0 0 0
"46" 2 2 3 2 1 1 4 1 2 2 2 3 1 2 1 3 1 4 2 1 2 4 5 2 5 3 2 5 2 5 3 2 2 1 2 2 0 1 0 0 50 31 83 71 72 50 0 15 2 21 31 74 5 73 66 77 72 64 52 80 87 62 74 70 71 75 61 73 75 77 81 11 80 67 1 1 1 1 1 1 3 4 5 1 1 2 2 2 2 2 4 4 3 3 5 3 2 3 4 4 3 3 1 0 0 0 0
